Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
532,G.I. Joe: Retaliation,Paramount,28-Mar-13,40501814,"3,734",Action,1 hrs. 39 min.,PG-13,"$122,523,060 "
124,Batman,Warner Bros.,23-Jun-89,40489746,"2,201",Action / Adventure,2 hrs. 6 min.,PG-13,"$251,348,343 "
466,The Last Airbender,Paramount,1-Jul-10,40325019,"3,203",Fantasy,1 hrs. 43 min.,PG,"$131,772,187 "
508,Safe House,Universal,10-Feb-12,40172720,"3,121",Action Thriller,1 hrs. 57 min.,R,"$126,373,434 "
514,Charlie's Angels,Sony / Columbia,3-Nov-00,40128550,"3,037",Action Comedy,1 hrs. 38 min.,PG-13,"$125,305,545 "
394,The Fast and the Furious,Universal,22-Jun-01,40089015,"2,899",Action,1 hrs. 46 min.,PG-13,"$144,533,925 "
441,Chicken Little,Buena Vista,4-Nov-05,40049778,"3,658",Animation,1 hrs. 21 min.,G,"$135,386,665 "
434,Click,Sony (Revolution),23-Jun-06,40011365,"3,764",Fantasy Comedy,1 hrs. 37 min.,PG-13,"$137,355,633 "
429,Split,Universal,20-Jan-17,40010975,"3,373",Horror Thriller,1 hrs. 57 min.,PG-13,"$138,291,365 "
540,50 First Dates,Sony / Columbia,13-Feb-04,39852237,"3,612",Romantic Comedy,1 hrs. 36 min.,PG-13,"$120,908,074 "
302,Wild Hogs,Buena Vista,2-Mar-07,39699023,"3,401",Comedy,1 hrs. 39 min.,PG-13,"$168,273,550 "
237,Sherlock Holmes: A Game of Shadows,Warner Bros.,16-Dec-11,39637079,"3,703",Adventure,2 hrs. 8 min.,PG-13,"$186,848,418 "
325,The Waterboy,Buena Vista,6-Nov-98,39414071,"2,782",Sports Comedy,1 hrs. 30 min.,PG-13,"$161,491,646 "
467,Rio 2,Fox,11-Apr-14,39327869,"3,975",Animation,1 hrs. 41 min.,G,"$131,538,435 "
398,Rio,Fox,15-Apr-11,39225962,"3,842",Animation,1 hrs. 36 min.,G,"$143,619,809 "
531,The Good Dinosaur,Buena Vista,25-Nov-15,39155217,"3,749",Animation,1 hrs. 40 min.,PG,"$123,087,120 "
512,Ocean's Twelve,Warner Bros.,10-Dec-04,39153380,"3,290",Crime Comedy,2 hrs. 4 min.,PG-13,"$125,544,280 "
331,The Heat,Fox,28-Jun-13,39115043,"3,184",Comedy,1 hrs. 57 min.,R,"$159,582,188 "
431,Dinosaur,Buena Vista,19-May-00,38854851,"3,319",Animation,1 hrs. 22 min.,PG,"$137,748,063 "
367,Daddy's Home,Paramount,25-Dec-15,38740203,"3,483",Comedy,1 hrs. 36 min.,PG-13,"$150,357,137 "
473,Get Smart,Warner Bros.,20-Jun-08,38683480,"3,915",Action Comedy,1 hrs. 50 min.,PG-13,"$130,319,208 "
505,The Legend of Tarzan,Warner Bros.,1-Jul-16,38527856,"3,591",Action / Adventure,1 hrs. 49 min.,PG-13,"$126,643,061 "
350,Over the Hedge,Paramount (DreamWorks),19-May-06,38457003,"4,093",Animation,1 hrs. 27 min.,PG,"$155,019,340 "
246,Ocean's Eleven,Warner Bros.,7-Dec-01,38107822,"3,075",Crime Comedy,1 hrs. 56 min.,PG-13,"$183,417,150 "
529,Rango,Paramount,4-Mar-11,38079323,"3,923",Animation,1 hrs. 47 min.,PG,"$123,477,607 "
543,Inglourious Basterds,Weinstein Company,21-Aug-09,38054676,"3,358",War,2 hrs. 32 min.,R,"$120,540,719 "
506,Bee Movie,Paramount (DreamWorks),2-Nov-07,38021044,"3,984",Animation,1 hrs. 30 min.,PG,"$126,631,277 "
305,Gone Girl,Fox,3-Oct-14,37513109,"3,284",Thriller,2 hrs. 25 min.,R,"$167,767,189 "
509,Mr. Deeds,Sony / Columbia,28-Jun-02,37162787,"3,239",Comedy,1 hrs. 31 min.,PG-13,"$126,293,452 "
286,Air Force One,Sony / Columbia,25-Jul-97,37132505,"2,981",Action Thriller,2 hrs. 4 min.,R,"$172,956,409 "
401,Marley and Me,Fox,25-Dec-08,36357586,"3,505",Comedy,2 hrs. 0 min.,PG,"$143,153,751 "
427,21 Jump Street,Sony / Columbia,16-Mar-12,36302612,"3,148",Action Comedy,1 hrs. 49 min.,R,"$138,447,667 "
484,Kingsman: The Secret Service,Fox,13-Feb-15,36206331,"3,282",Action / Adventure,2 hrs. 9 min.,R,"$128,261,724 "
33,Jumanji: Welcome to the Jungle,Sony / Columbia,20-Dec-17,36169328,"3,849",Action,1 hrs. 59 min.,PG-13,"$404,564,861 "
206,Armageddon,Buena Vista,1-Jul-98,36089972,"3,184",Sci-Fi Action,2 hrs. 24 min.,PG-13,"$201,578,182 "
485,Robots,Fox,11-Mar-05,36045301,"3,776",Animation,1 hrs. 30 min.,PG,"$128,200,012 "
